menu_URL : http://localhost:8080/, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T01:51:45.720994500Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T01:52:08.494106700Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T01:52:08.512936600Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T01:52:09.258892100Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T01:52:09.272543700Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T01:53:55.764553200Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T01:53:55.784641200Z
menu_URL : http://localhost:8080/, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:10:49.659151700Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:11:01.998407600Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:11:02.015409Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:11:02.722495400Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:11:02.732533700Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:11:26.413415200Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:11:26.493763900Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:11:27.308259900Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:11:27.321820Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:11:53.157698200Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:11:53.169748600Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:14:35.115439500Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:14:35.216898800Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:14:36.368295600Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:14:36.394991400Z
menu_URL : http://localhost:8080/user, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:17:25.728118Z
menu_URL : http://localhost:8080/error, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:17:30.052194100Z
menu_URL : http://localhost:8080/error, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:17:31.125657700Z
menu_URL : http://localhost:8080/test-exception, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:17:51.770386200Z
menu_URL : http://localhost:8080/error, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:17:51.798743500Z
menu_URL : http://localhost:8080/test-exception, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:18:07.136516100Z
menu_URL : http://localhost:8080/error, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T02:18:07.166420100Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T04:03:25.617326200Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T04:03:25.715890400Z
menu_URL : http://localhost:8080/test-exception, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T05:08:33.836997400Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T05:08:33.969289300Z
