menu_URL : http://localhost:8080/doc, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T06:57:38.941834300Z
menu_URL : http://localhost:8080/swagger-ui/index.html, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T06:57:39.050149800Z
menu_URL : http://localhost:8080/swagger-ui/swagger-ui.css, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T06:57:39.081149200Z
menu_URL : http://localhost:8080/swagger-ui/swagger-ui-bundle.js, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T06:57:39.082148Z
menu_URL : http://localhost:8080/swagger-ui/swagger-ui-standalone-preset.js, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T06:57:39.082148Z
menu_URL : http://localhost:8080/swagger-ui/swagger-initializer.js, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T06:57:39.082148Z
menu_URL : http://localhost:8080/swagger-ui/index.css, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T06:57:39.082148Z
menu_URL : http://localhost:8080/v3/api-docs/swagger-config, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T06:57:39.319555200Z
menu_URL : http://localhost:8080/v3/api-docs, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T06:57:39.351667800Z
menu_URL : http://localhost:8080/swagger-ui/index.html, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T09:03:35.505784Z
menu_URL : http://localhost:8080/swagger-ui/swagger-ui.css, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T09:03:35.662820300Z
menu_URL : http://localhost:8080/swagger-ui/index.css, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T09:03:35.662820300Z
menu_URL : http://localhost:8080/swagger-ui/swagger-initializer.js, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T09:03:35.663825100Z
menu_URL : http://localhost:8080/swagger-ui/swagger-ui-standalone-preset.js, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T09:03:35.663825100Z
menu_URL : http://localhost:8080/swagger-ui/swagger-ui-bundle.js, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T09:03:35.663825100Z
menu_URL : http://localhost:8080/v3/api-docs/swagger-config, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T09:03:35.748396200Z
menu_URL : http://localhost:8080/swagger-ui/favicon-32x32.png, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T09:03:35.753394900Z
menu_URL : http://localhost:8080/v3/api-docs, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-21T09:03:35.792339900Z
